"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"fig|6666666.77655.peg.1053",14.8645557940212,0.604471433827584,0.563939593367118,1.07187266320221,0.283777230225073,0.546832833339168
"fig|6666666.77655.peg.1054",5.0884177991158,1.38842292288762,0.674969505043945,2.05701577999027,0.0396847079944583,0.145665538714651
"fig|6666666.77655.peg.1055",9.15024423305244,1.63250110496943,0.638513637325513,2.5567208114886,0.010566398512434,0.0538413842899839
"fig|6666666.77655.peg.1056",3.41465428657986,0.313848964950168,0.675669483988141,0.464500724670402,0.642289040449889,0.84260524563468
"fig|6666666.77655.peg.1057",7.3901482066951,0.59702439893592,0.647357344578435,0.922248591038551,0.356398922726081,0.61967123216545
"fig|6666666.77655.peg.1058",66.7214176115624,-0.368681891721629,0.34521237742286,-1.06798572656629,0.285526950351942,0.548462885798281
"fig|6666666.77655.peg.1059",120.88986221537,0.0202200452927942,0.291137549129594,0.0694518634001196,0.944629947522086,0.986333726962877
"fig|6666666.77655.peg.106",19.7616183392825,0.634507142830968,0.518124720641999,1.22462240760248,0.22071752124611,0.463432852398658
"fig|6666666.77655.peg.1060",146.945964084524,0.582375377625535,0.289562161299306,2.01122748570578,0.044301433834915,0.15703018504648
"fig|6666666.77655.peg.1061",39.064368770462,0.752779789542668,0.414984654324013,1.81399428074974,0.0696786062820001,0.215999619103082
"fig|6666666.77655.peg.1062",107.015395052066,-0.326689056131017,0.298997070288543,-1.09261624475367,0.274562327228174,0.53695082313325
"fig|6666666.77655.peg.1063",66.0204175128809,-0.0966092611268253,0.345810349578917,-0.279370647074223,0.779960394887059,0.915002671961561
"fig|6666666.77655.peg.1064",67.8569566536271,0.392297510225708,0.358739171444712,1.09354523133298,0.274154481006072,0.53695082313325
"fig|6666666.77655.peg.1065",139.638846138584,0.197151189057835,0.283280592617565,0.695957274150417,0.486455587377121,0.734665155153278
"fig|6666666.77655.peg.1066",256.14908970411,-0.188009984969006,0.244329024535051,-0.769495091001905,0.441599457622384,0.704703908503703
"fig|6666666.77655.peg.1067",1028.40692605399,1.99173857808026,0.207179057280072,9.61360961975879,7.00492963164089e-22,9.75631032584651e-20
"fig|6666666.77655.peg.1068",136.532577381839,-0.375413957174384,0.277270192202421,-1.35396435582341,0.175747749788743,0.409860101135237
"fig|6666666.77655.peg.1069",1160.9747960904,-0.806128450704125,0.187928243356743,-4.28955454648644,1.79031840190448e-05,0.000245285593246135
"fig|6666666.77655.peg.107",140.483164612546,0.199401415291507,0.290399964320247,0.686644076414593,0.492307045922763,0.737352610826181
"fig|6666666.77655.peg.1070",672.026516045221,-0.0494517499340162,0.202427481764058,-0.24429365767468,0.807003395143276,0.931043493614447
"fig|6666666.77655.peg.1071",1834.32684968191,-0.944295094458019,0.201350719294617,-4.68980243907806,2.73468955302596e-06,4.79431238422104e-05
"fig|6666666.77655.peg.1072",86.0162154603728,-0.600415416023451,0.331120971237851,-1.81328115153467,0.0697884688765443,0.215999619103082
"fig|6666666.77655.peg.1073",91.3847328602527,-0.512107122489701,0.314887534607553,-1.62631754581185,0.103882121131022,0.286819909334219
"fig|6666666.77655.peg.1074",0.231350358521478,0.11532999326273,0.341629060099405,0.337588357469272,0.735673417019876,NA
"fig|6666666.77655.peg.1075",52.5240142794664,-0.474902178355157,0.385385045980681,-1.23227972467558,0.217844610965591,0.459710807820485
"fig|6666666.77655.peg.1076",22.9817944257466,0.655422959116064,0.495680997336048,1.32226767344022,0.186079033263802,0.422172069133351
"fig|6666666.77655.peg.1077",13.8951568522086,-0.576562234589097,0.591729846622498,-0.974367336513487,0.329874181532568,0.597149083526464
"fig|6666666.77655.peg.1078",18.3061474008653,0.518960330869603,0.531737410758572,0.975971072129868,0.329078799852053,0.596529682739766
"fig|6666666.77655.peg.1079",25.0353798050846,-0.669959577930941,0.503280287694215,-1.33118581099286,0.183127878991552,0.41965410661044
"fig|6666666.77655.peg.108",29.135839323671,-0.459963864143351,0.461758582966377,-0.996113296234806,0.319195100228375,0.585385600784592
"fig|6666666.77655.peg.1080",9.08799286147121,0.538741313242388,0.632586996006755,0.851647783851433,0.394409609912378,0.662724458478775
"fig|6666666.77655.peg.1081",43.1198247210805,-0.930779798118861,0.409967188029011,-2.27037632595366,0.0231847596240729,0.09901906708271
"fig|6666666.77655.peg.1082",134.905189985083,-0.324430076897543,0.277955840303264,-1.16720007229772,0.243129581724204,0.497035705464034
"fig|6666666.77655.peg.1083",33.3897640991762,-0.0616424455524623,0.445211693457027,-0.13845648364223,0.889879659327983,0.96508850238593
"fig|6666666.77655.peg.1084",2.1313400817877,0.888701549866326,0.63279066532977,1.40441633949071,0.160194908104658,NA
"fig|6666666.77655.peg.1085",6.95204365799405,1.49703160127826,0.666936433363087,2.24463910860191,0.0247913099795261,0.104632683701468
"fig|6666666.77655.peg.1086",2.5597113610081,0.809427507805981,0.660481114646892,1.22551196371257,0.220382385237668,NA
"fig|6666666.77655.peg.1087",1.3227677904059,0.793634045036668,0.565774495846098,1.40273916704183,0.160694633178369,NA
"fig|6666666.77655.peg.1088",1.26794849350261,-0.098512710986451,0.589689482835168,-0.167058619585365,0.867323925169587,NA
"fig|6666666.77655.peg.1089",7.35378434230713,0.523350785818764,0.65459285597743,0.799505801262226,0.423997184163681,0.689339131451587
"fig|6666666.77655.peg.109",8.63014279189812,0.587939316689223,0.633054405785997,0.928734262514516,0.353026819809058,0.617612168360997
"fig|6666666.77655.peg.1090",44.2821706842564,1.2918725727054,0.413857166578356,3.12154210928907,0.0017990651687013,0.0128864467940976
"fig|6666666.77655.peg.1091",32.3916029617734,0.12274196500885,0.443482003474793,0.276768761859864,0.781957668928437,0.915730719843123
"fig|6666666.77655.peg.1092",40.163530048586,-1.14228752431298,0.422743713555999,-2.70208045130792,0.00689070869728146,0.0384744024589858
"fig|6666666.77655.peg.1093",6.50674307880605,1.00426716361445,0.662024264357695,1.51696428315781,0.129275701950878,0.334808042139308
"fig|6666666.77655.peg.1094",31.6867515437791,2.24011996868543,0.481188957772028,4.6553852338123,3.23375497034307e-06,5.51498211608849e-05
